year,pick,team,name,college,yrs,gms,min,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws/48,bpm,vorp,link,at_col,mvps,roy,dpoys,smoys,mips,fmvps,1st_team,2nd_team,3rd_team,all_nba,all_star,franchise,active
1978,36,PHI,Maurice Cheeks,West Texas A&M University,15,1101,34845,12195,3088,7392,0.523,0,0.793,31.6,11.1,2.8,6.7,103.5,0.143,2.8,42.1,/players/c/cheekma01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,4,PHI,FALSE
1978,37,WSB,Terry Sykes,Grambling State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/s/sykeste01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,WAS,FALSE
1978,38,LAL,Lew Massey,UNC Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/m/massele01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAL,FALSE
1978,39,SEA,James Lee,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/l/leeja01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,OKC,FALSE
1978,40,GSW,Wayne Cooper,New Orleans,14,984,20274,7777,6095,852,0.457,0,0.736,20.6,7.9,6.2,0.9,36.9,0.087,-2.3,-1.4,/players/c/coopewa01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,GSW,FALSE
1978,41,SDC,Jerome Whitehead,Marquette,11,679,11828,4423,3268,374,0.497,0,0.718,17.4,6.5,4.8,0.6,16.4,0.067,-3.7,-5.1,/players/w/whiteje01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1978,42,SEA,Keven McDonald,Penn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/m/mcdonke01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,OKC,FALSE
1978,43,PHI,Glenn Hagan,St. Bonaventure,1,4,25,7,4,8,0.429,0,1,6.3,1.8,1,2,0.1,0.201,-2.7,0,/players/h/hagangl01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,PHI,FALSE
1978,44,POR,Clemon Johnson,Florida A&M,10,761,13310,4102,3508,744,0.492,0,0.621,17.5,5.4,4.6,1,25.5,0.092,-0.8,4.1,/players/j/johnscl01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,POR,FALSE
1978,45,NJN,Mike Phillips,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/p/phillmi01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,BRK,FALSE
1978,46,DEN,Hollis Copeland,Rutgers University,2,93,1260,464,161,89,0.488,0,0.739,13.5,5,1.7,1,1.3,0.05,-2,0,/players/c/copelho01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,DEN,FALSE
1978,47,HOU,Billy Ray Bates,Kentucky State University,4,187,3328,2197,313,352,0.474,0.303,0.796,17.8,11.7,1.7,1.9,6.9,0.099,0.5,2.1,/players/b/batesbi01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,HOU,FALSE
1978,48,SDC,Mike Santos,Utah State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/s/santomi01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1978,49,KCK,Jeff Cook,Idaho State University,8,518,9697,2734,2334,707,0.462,0.056,0.716,18.7,5.3,4.5,1.4,17.7,0.088,-1.4,1.6,/players/c/cookje01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAC,FALSE
1978,50,BOS,Dana Skinner,Merrimack College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/s/skinnda01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,BOS,FALSE
1978,51,SDC,Ricky Gallon,Louisville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/g/gallori01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
